salary,salary25,salary50,salary75,sampleCount,isShowSalary,salaryThousand50,salaryThousand,originSampleCount,originTotalSampleCount,analyzeCode,desc,jobCount,jobUrl,job_code,salary_type
64040.953,45000.0,56500.0,78000.0,258.0,True,56.0,64.0,258.0,1728.0,2,1~3年,353,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002001&jobexp=3&jobsource=salary_jobexp&order=2&page=1,2001002001,月薪
60700.105,45000.0,55000.0,71000.0,0.0,False,55.0,60.0,233.0,1728.0,3,3~5年,325,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002001&jobexp=5&jobsource=salary_jobexp&order=2&page=1,2001002001,月薪
70071.586,50000.0,63000.0,81000.0,537.0,True,63.0,70.0,537.0,1728.0,4,5~10年,590,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002001&jobexp=10&jobsource=salary_jobexp&order=2&page=1,2001002001,月薪
77158.77,55000.0,70000.0,91550.0,616.0,True,70.0,77.0,616.0,1728.0,5,10年以上,171,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002001&jobexp=99&jobsource=salary_jobexp&order=2&page=1,2001002001,月薪
42773.094,33860.0,38050.0,45000.0,345.0,True,38.0,42.0,345.0,5707.0,1,1年以下,1280,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002002&jobexp=1&jobsource=salary_jobexp&order=2&page=1,2001002002,月薪
44116.71,35000.0,40000.0,48000.0,1078.0,True,40.0,44.0,1078.0,5707.0,2,1~3年,1561,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002002&jobexp=3&jobsource=salary_jobexp&order=2&page=1,2001002002,月薪
45871.957,36000.0,42416.5,50100.0,1077.0,True,42.0,45.0,1077.0,5707.0,3,3~5年,857,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002002&jobexp=5&jobsource=salary_jobexp&order=2&page=1,2001002002,月薪
49514.28,38000.0,45000.0,55000.0,1771.0,True,45.0,49.0,1771.0,5707.0,4,5~10年,635,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002002&jobexp=10&jobsource=salary_jobexp&order=2&page=1,2001002002,月薪
55715.777,42000.0,50000.0,61000.0,1436.0,True,50.0,55.0,1436.0,5707.0,5,10年以上,62,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002002&jobexp=99&jobsource=salary_jobexp&order=2&page=1,2001002002,月薪
601406.94,455955.34,526071.4,670576.56,345.0,True,38.0,42.0,345.0,5707.0,1,1年以下,1280,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002002&jobexp=1&jobsource=salary_jobexp&order=2&page=1,2001002002,年薪
620298.75,471306.47,553031.7,715281.6,1078.0,True,40.0,44.0,1078.0,5707.0,2,1~3年,1561,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002002&jobexp=3&jobsource=salary_jobexp&order=2&page=1,2001002002,年薪
644978.2,484772.38,586441.75,746575.25,1077.0,True,42.0,45.0,1077.0,5707.0,3,3~5年,857,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002002&jobexp=5&jobsource=salary_jobexp&order=2&page=1,2001002002,年薪
696190.75,511704.2,622160.6,819593.56,1771.0,True,45.0,49.0,1771.0,5707.0,4,5~10年,635,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002002&jobexp=10&jobsource=salary_jobexp&order=2&page=1,2001002002,年薪
783386.25,565567.75,691289.6,909003.75,1436.0,True,50.0,55.0,1436.0,5707.0,5,10年以上,62,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002002&jobexp=99&jobsource=salary_jobexp&order=2&page=1,2001002002,年薪
43580.43,33500.0,40081.0,50000.0,51.0,True,40.0,43.0,51.0,796.0,1,1年以下,420,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002003&jobexp=1&jobsource=salary_jobexp&order=2&page=1,2001002003,月薪
44890.406,38000.0,42000.0,50000.0,147.0,True,42.0,44.0,147.0,796.0,2,1~3年,595,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002003&jobexp=3&jobsource=salary_jobexp&order=2&page=1,2001002003,月薪
47285.11,37400.0,44950.0,54000.0,144.0,True,44.0,47.0,144.0,796.0,3,3~5年,339,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002003&jobexp=5&jobsource=salary_jobexp&order=2&page=1,2001002003,月薪
48056.305,38900.0,45000.0,55000.0,269.0,True,45.0,48.0,269.0,796.0,4,5~10年,238,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001002003&jobexp=10&jobsource=salary_jobexp&order=2&page=1,2001002003,月薪
